iter	Passed	Remaining
0	158	158701
1	162	81189
2	163	54299
3	164	40855
4	164	32783
5	165	27390
6	165	23546
7	166	20657
8	167	18403
9	167	16598
10	168	15123
11	168	13901
12	169	12864
13	170	11977
14	170	11203
15	171	10528
16	172	9999
17	174	9509
18	174	9034
19	175	8602
20	176	8215
21	176	7862
22	177	7538
23	178	7240
24	178	6966
25	179	6712
26	179	6480
27	181	6297
28	182	6098
29	182	5909
30	183	5735
31	184	5570
32	184	5412
33	185	5263
34	186	5138
35	187	5016
36	188	4896
37	189	4790
38	189	4679
39	190	4578
40	191	4481
41	192	4384
42	192	4290
43	193	4200
44	193	4115
45	194	4035
46	195	3957
47	195	3883
48	196	3813
49	197	3745
50	198	3685
51	198	3627
52	200	3574
53	201	3523
54	201	3470
55	202	3416
56	203	3364
57	204	3314
58	204	3266
59	205	3220
60	206	3180
61	207	3134
62	207	3090
63	208	3046
64	208	3004
65	209	2963
66	210	2924
67	210	2889
68	211	2853
69	212	2818
70	212	2783
71	213	2750
72	214	2717
73	215	2700
74	216	2673
75	218	2651
76	219	2635
77	220	2606
78	221	2577
79	221	2549
80	222	2522
81	223	2501
82	223	2472
83	224	2449
84	225	2426
85	226	2402
86	226	2377
87	227	2353
88	227	2330
89	228	2311
90	229	2294
91	230	2275
92	231	2257
93	232	2237
94	233	2220
95	234	2205
96	235	2187
97	235	2171
98	236	2153
99	237	2138
100	239	2128
101	241	2127
102	242	2109
103	243	2097
104	244	2087
105	245	2070
106	247	2061
107	247	2047
108	249	2037
109	250	2023
110	250	2008
111	251	1996
112	252	1981
113	253	1966
114	253	1952
115	254	1937
116	254	1922
117	255	1907
118	255	1894
119	256	1880
120	256	1866
121	258	1863
122	259	1851
123	260	1839
124	261	1828
125	262	1818
126	262	1807
127	263	1796
128	264	1784
129	265	1773
130	266	1766
131	267	1756
132	267	1745
133	268	1734
134	268	1723
135	269	1712
136	270	1701
137	270	1691
138	271	1681
139	273	1682
140	274	1674
141	275	1663
142	277	1662
143	278	1655
144	279	1647
145	280	1639
146	280	1630
147	281	1621
148	282	1612
149	282	1603
150	283	1593
151	284	1584
152	284	1576
153	285	1568
154	285	1559
155	286	1550
156	289	1551
157	289	1544
158	290	1537
159	291	1529
160	291	1519
161	292	1511
162	292	1503
163	293	1495
164	294	1489
165	295	1482
166	295	1474
167	296	1466
168	296	1459
169	297	1452
170	298	1444
171	298	1437
172	299	1430
173	299	1423
174	300	1416
175	301	1410
176	303	1409
177	304	1404
178	304	1398
179	305	1392
180	306	1388
181	307	1382
182	308	1378
183	309	1372
184	310	1366
185	311	1361
186	312	1357
187	313	1352
188	313	1345
189	314	1339
190	314	1333
191	315	1328
192	316	1321
193	317	1317
194	317	1311
195	318	1307
